AB.C.alpha.a.FP1,AB.C.alpha.b.FP2,AB.C.alpha.c.F7,AB.C.alpha.d.F3,AB.C.alpha.e.Fz,AB.C.alpha.f.F4,AB.C.alpha.g.F8,AB.C.alpha.h.T3,AB.C.alpha.i.C3,AB.C.alpha.j.Cz,AB.C.alpha.k.C4,AB.C.alpha.l.T4,AB.C.alpha.m.T5,AB.C.alpha.n.P3,AB.C.alpha.o.Pz,AB.C.alpha.p.P4,AB.C.alpha.q.T6,AB.C.alpha.r.O1,AB.C.alpha.s.O2,COH.D.beta.a.FP1.b.FP2,COH.D.beta.c.F7.d.F3,COH.D.beta.e.Fz.f.F4,COH.D.beta.g.F8.h.T3,COH.D.beta.i.C3.j.Cz,COH.D.beta.k.C4.l.T4,COH.D.beta.m.T5.n.P3,COH.D.beta.o.Pz.p.P4,COH.D.beta.q.T6.r.O1,AB.A.delta.a.FP1,AB.A.delta.b.FP2,AB.B.theta.a.FP1,AB.B.theta.b.FP2,AB.C.alpha.a.FP1,AB.C.alpha.b.FP2,AB.D.beta.a.FP1,AB.D.beta.b.FP2,AB.E.highbeta.a.FP1,AB.E.highbeta.b.FP2,AB.F.gamma.a.FP1,AB.F.gamma.b.FP2,COH.B.theta.a.FP1.b.FP2,COH.B.theta.c.F7.d.F3,COH.B.theta.e.Fz.f.F4,COH.B.theta.g.F8.h.T3,COH.B.theta.i.C3.j.Cz,COH.B.theta.k.C4.l.T4,COH.B.theta.m.T5.n.P3,COH.B.theta.o.Pz.p.P4,COH.B.theta.q.T6.r.O1,AB.B.theta.a.FP1,AB.B.theta.b.FP2,AB.B.theta.c.F7,AB.B.theta.d.F3,AB.B.theta.e.Fz,AB.B.theta.f.F4,AB.B.theta.g.F8,AB.B.theta.h.T3,AB.B.theta.i.C3,AB.B.theta.j.Cz,AB.B.theta.k.C4,AB.B.theta.l.T4,AB.B.theta.m.T5,AB.B.theta.n.P3,AB.B.theta.o.Pz,AB.B.theta.p.P4,AB.B.theta.q.T6,AB.B.theta.r.O1,AB.B.theta.s.O2,COH.F.gamma.a.FP1.b.FP2,COH.F.gamma.c.F7.d.F3,COH.F.gamma.e.Fz.f.F4,COH.F.gamma.g.F8.h.T3,COH.F.gamma.i.C3.j.Cz,COH.F.gamma.k.C4.l.T4,COH.F.gamma.m.T5.n.P3,COH.F.gamma.o.Pz.p.P4,COH.F.gamma.q.T6.r.O1,main.disorder
0.043804895,0.046442844,0.044267993,0.042612445,0.042889304,0.03695396,0.05380594,0.02070848,0.029809779,0.047002528,0.02508084,0.037744377,0.02986072,0.015715735,0.035967376,0.03980518,0.03578623,0.03964603,0.03889993,0.7513112,0.7368148,0.8249191,0.38921586,0.7081381,0.73952025,0.6973012,0.75165737,0.27737632,0.15679115,0.14572601,0.03250573,0.03753103,0.043804895,0.046442844,0.1182657,0.110263236,0.15283823,0.12266216,0.21095511,0.12823276,0.6602682,0.6630508,0.83685017,0.27502105,0.7398824,0.7174005,0.63375795,0.7854145,0.24555959,0.03250573,0.03753103,0.034496047,0.0572304,0.04822571,0.055639084,0.042399134,0.017646216,0.04174567,0.061477788,0.050073575,0.027407005,0.030409658,0.039190043,0.04803257,0.039650932,0.02806952,0.029161042,0.03441469,0.78596234,0.7367295,0.8454408,0.54777247,0.80491185,0.81643003,0.8336285,0.82079285,0.5175593,Healthy control
0.12373691,0.14852272,0.10057378,0.08024095,0.10647652,0.09480532,0.090766884,0.052048244,0.07008014,0.081325136,0.08289409,0.10194377,0.08181631,0.08795176,0.10183473,0.11054991,0.117722236,0.12646492,0.13466746,0.62886864,0.7208193,0.8220281,0.24335137,0.7802393,0.50587195,0.4276678,0.8363396,0.41912642,0.19384636,0.18802717,0.08210145,0.0766094,0.12373691,0.14852272,0.08613295,0.09784361,0.039820433,0.02840648,0.05834289,0.04509765,0.74240905,0.71841383,0.8385027,0.465199,0.8361198,0.6346822,0.54251117,0.8372086,0.67508465,0.08210145,0.0766094,0.08067681,0.0859957,0.10965514,0.09655605,0.10331847,0.0649004,0.09678467,0.11670178,0.11721183,0.07908855,0.06685867,0.0828167,0.1355046,0.14541356,0.10693319,0.06767034,0.09987129,0.6295836,0.6036641,0.7859647,0.14752042,0.70907706,0.31914347,0.44137987,0.83107746,0.5661863,Mood disorder
0.049152177,0.058659226,0.04387434,0.04711296,0.061537992,0.043846104,0.055945866,0.026295608,0.028982973,0.06073328,0.042271607,0.03682907,0.023252629,0.02568143,0.039196596,0.038919244,0.051370703,0.059759293,0.031142069,0.728217,0.6657502,0.7772975,0.0894938,0.55882627,0.46690306,0.5014525,0.6815087,0.11327277,0.15200914,0.13900685,0.037621208,0.039597157,0.049152177,0.058659226,0.09610249,0.11605444,0.1036458,0.081805006,0.07047429,0.05556659,0.7120704,0.5809803,0.8409692,0.11258955,0.6708448,0.5482689,0.5071782,0.7586639,0.14279886,0.037621208,0.039597157,0.03375798,0.076537386,0.06279176,0.055086944,0.046778966,0.030032858,0.06375382,0.065863945,0.06309752,0.038479146,0.038851414,0.05243298,0.068233736,0.062257253,0.034159396,0.015016851,0.036362994,0.64471257,0.5782202,0.77385217,0.15139642,0.5841242,0.42388493,0.5601043,0.71257246,0.25323635,Addictive disorder
0.23968536,0.19251657,0.16100669,0.14441766,0.2195226,0.2021943,0.16085747,0.09597249,0.10862618,0.2229875,0.21231242,0.18763429,0.099399954,0.15768382,0.24133028,0.2594537,0.2872012,0.31256437,0.19222637,0.56424534,0.62062174,0.83096343,0.13761908,0.5209631,0.49719667,0.26047537,0.5359517,0.07930946,0.232216,0.22674213,0.1366087,0.15829924,0.23968536,0.19251657,0.12199128,0.09646119,0.07036159,0.03737869,0.054937787,0.0707792,0.5920006,0.5701764,0.7727616,0.11259579,0.5300286,0.485996,0.26602128,0.4943689,0.11298908,0.1366087,0.15829924,0.14807972,0.17241906,0.19631907,0.22781679,0.12826417,0.08265158,0.17880683,0.23761915,0.21961671,0.107299455,0.09888268,0.18480875,0.20844747,0.16447859,0.13298081,0.086178236,0.15454926,0.49250332,0.43068436,0.7515169,0.19325182,0.4601108,0.47809473,0.28720537,0.40073186,0.3120019,Trauma and stress related disorder
0.04977299,0.045491196,0.041959263,0.032444242,0.0385249,0.038294654,0.038157493,0.021393508,0.025836945,0.030541174,0.024360256,0.047409367,0.020208178,0.017007243,0.034817245,0.04293334,0.037940137,0.029360788,0.028711537,0.5948234,0.6249024,0.84477633,0.31179422,0.6105758,0.65669805,0.44171458,0.7963963,0.28956428,0.19329756,0.16305022,0.049427275,0.060959,0.04977299,0.045491196,0.095451914,0.10089872,0.06411323,0.051597912,0.07846052,0.06516589,0.73951966,0.6848783,0.8826585,0.40317953,0.7026693,0.67834324,0.52928966,0.81658834,0.41991037,0.049427275,0.060959,0.039996207,0.050146554,0.058905885,0.050650816,0.057713363,0.032246966,0.048912052,0.07233604,0.04600474,0.05685742,0.043239035,0.035829064,0.04595428,0.0446321,0.042760532,0.017733384,0.040952265,0.45479855,0.49081042,0.8197399,0.27492154,0.61397225,0.68853974,0.47908512,0.78324276,0.51871276,Mood disorder
0.09150222,0.10665738,0.08947754,0.07769088,0.083214074,0.09766819,0.08091619,0.028600784,0.053712822,0.08033179,0.083903134,0.09222268,0.0577553,0.061903518,0.07366399,0.088079974,0.045160186,0.07756085,0.0550753,0.61745036,0.7497571,0.89234465,0.34995502,0.8092171,0.61309487,0.5689492,0.88053125,0.2773244,0.21381319,0.2019946,0.05413808,0.08322495,0.09150222,0.10665738,0.095229946,0.13153692,0.0854614,0.06937072,0.085639186,0.040146124,0.6844345,0.7430859,0.9038395,0.40568396,0.84861606,0.74577814,0.6959151,0.89139146,0.40432125,0.05413808,0.08322495,0.061641507,0.10339909,0.124145076,0.11918762,0.101009466,0.06894787,0.11505513,0.1135861,0.09892151,0.08413204,0.044597242,0.074742675,0.10736119,0.10743078,0.06890958,0.06450839,0.111292206,0.5206443,0.72858196,0.8551642,0.37015057,0.8044334,0.59408855,0.7423864,0.8795831,0.5603904,Anxiety disorder
0.10914526,0.11210297,0.09332298,0.08543384,0.103381924,0.09196823,0.097294904,0.056690875,0.055816054,0.086378306,0.099950634,0.113471396,0.059772428,0.07949211,0.11701973,0.13280103,0.16325304,0.11181278,0.08325146,0.57288474,0.4846627,0.672521,0.124811545,0.5775492,0.49089184,0.37544006,0.5844939,0.12086133,0.183805,0.191588,0.09469552,0.10975685,0.10914526,0.11210297,0.09780597,0.08160788,0.108657256,0.071426846,0.10671986,0.09597676,0.58585995,0.41264415,0.6780121,0.14954099,0.6170344,0.5009336,0.37876704,0.563337,0.1312089,0.09469552,0.10975685,0.08326009,0.10952061,0.12828338,0.123751864,0.098047815,0.05117844,0.1106327,0.14174019,0.14089338,0.08389953,0.06244374,0.12208982,0.12863891,0.11847893,0.100960396,0.069391236,0.11465917,0.3974264,0.33481115,0.5785161,0.1301734,0.5372763,0.37241924,0.38410622,0.4931867,0.25768626,Trauma and stress related disorder
28.412779,30.215997,13.351944,24.490554,32.317709,31.040783,30.361099,11.93652,30.527262,44.30394,31.125848,12.469738,14.751676,23.922487,33.915044,15.271076,14.816603,15.8593,18.334257,69.999393,58.63241,90.753062,12.304114,73.27139,75.779907,72.285897,87.075531,43.913131,6.327173,6.37086,5.979497,6.232428,28.412779,30.215997,6.07278,6.803691,1.280999,1.510345,1.856115,2.371396,74.104999,63.388032,87.681847,12.330961,68.835019,67.009591,46.169667,70.450387,27.717058,5.979497,6.232428,3.941704,6.450391,6.969098,6.555267,6.352169,3.660659,7.633204,11.078769,7.554506,3.131829,4.180928,6.677324,7.870857,4.453222,4.361092,4.329827,4.570737,35.450699,15.759014,76.912628,5.813455,49.47347,56.502113,53.082665,62.256277,17.959207,Healthy control
20.08045,20.554149,14.634286,19.864769,23.093623,20.98368,14.938066,8.15895,13.707659,19.440856,16.971255,12.877666,10.858381,27.478926,27.414184,38.771476,36.811446,17.642588,15.516706,59.720488,48.611666,80.928782,37.591812,77.25901,26.178612,61.457215,81.120326,23.817799,23.975863,25.263253,11.495125,12.045682,20.08045,20.554149,7.341044,8.832781,1.218603,1.545734,1.978038,2.577305,28.044067,33.510717,61.258368,5.662454,49.359347,32.352419,36.497345,62.10361,16.659212,11.495125,12.045682,8.833819,12.519422,14.872281,13.869563,8.851854,4.891662,8.545337,12.131973,9.846607,6.39424,3.050251,6.184939,8.0942,10.03226,8.592081,2.850542,3.485157,65.431648,23.889676,82.713502,34.757514,79.280427,3.561014,74.846744,88.138867,38.232518,Addictive disorder
18.608233,18.565165,11.176073,18.007274,19.195407,17.206182,12.004926,7.930859,17.380224,16.578728,14.256599,8.430181,8.929136,11.782217,13.098069,12.197138,8.57513,9.48538,8.818215,90.35191,73.74148,64.433493,18.482492,45.969255,69.018757,64.285717,77.135353,18.527662,11.674615,11.511411,13.184822,12.886914,18.608233,18.565165,6.963385,6.821106,1.139739,1.132498,0.523404,0.517034,77.955004,47.896329,42.174816,7.999202,38.534256,50.305558,42.979454,75.183916,14.858211,13.184822,12.886914,8.716424,13.512259,13.91727,12.138591,8.117846,6.722257,11.78664,12.068711,10.075702,6.047694,6.103547,8.87498,10.125935,9.15554,6.126255,6.824934,6.986442,77.473293,55.180256,42.794193,13.534685,36.880579,53.428962,61.418429,76.356224,14.817043,Addictive disorder
6.598176,7.343497,4.932362,10.492935,11.004724,8.060603,6.468776,4.718028,14.116865,14.998782,17.303694,7.741076,5.505908,10.220525,15.308493,16.084937,9.958675,5.844704,10.415447,66.728688,63.815388,71.667948,12.92624,73.24134,38.885243,77.885248,52.560766,10.287989,15.528181,16.995253,12.758571,14.058589,6.598176,7.343497,14.775851,15.900809,1.235113,1.265607,0.604755,0.640149,66.700957,64.068831,76.88281,17.187372,88.01459,41.471625,84.618292,65.218957,34.885472,12.758571,14.058589,8.464975,15.606875,18.148386,12.013612,11.328635,7.476771,13.225928,17.628493,16.056087,11.82877,8.267813,11.253991,14.262965,14.799251,13.476542,5.816953,7.795431,43.89977,27.030453,65.318966,0.892811,61.644566,26.17779,77.202891,40.751605,39.24912,Addictive disorder
10.23319,10.333881,7.612588,11.387416,13.766748,12.978058,9.131194,4.135209,8.620427,12.399949,11.207734,7.459234,4.106964,7.5227,10.174369,10.23332,12.107746,15.152539,11.072547,74.746904,71.578397,89.148226,7.665189,67.900763,53.618581,60.301209,60.526606,9.137843,15.191441,13.472736,12.911489,12.328362,10.23319,10.333881,10.0794,10.1246,2.21732,2.439016,3.108108,3.872901,76.643348,65.251624,88.208177,6.17183,76.348556,47.409495,46.069876,71.549833,9.93851,12.911489,12.328362,11.369964,12.70982,14.864499,14.642803,12.504706,5.37205,9.108411,12.36402,10.698102,9.74114,4.054618,7.448228,9.372719,8.840209,17.266358,13.139108,9.581848,71.386743,68.705556,91.351807,15.448451,86.49386,61.567381,80.712156,85.094654,21.774877,Schizophrenia
7.715324,7.371861,5.110312,5.71091,7.598927,7.196801,6.12571,3.562286,7.57968,7.47861,7.247505,6.400421,3.720666,6.208394,10.142538,8.074274,5.672175,5.141385,5.321762,59.226094,50.572953,82.670447,32.422719,61.92638,59.35377,77.125728,85.635775,26.833989,31.415211,26.933934,13.35708,14.62694,7.715324,7.371861,8.77722,9.34136,1.589597,1.549837,2.961397,2.946726,40.136491,81.368475,82.104494,11.036151,80.956081,71.104491,75.245903,86.512839,20.017659,13.35708,14.62694,10.841894,12.676171,20.512515,18.585155,12.156513,6.717235,13.130271,13.09771,11.457543,10.650285,5.580642,8.089416,14.201388,10.204984,7.698014,6.618244,7.062456,64.082234,47.923888,89.509881,65.729018,62.581562,72.040565,96.231779,96.983432,82.628481,Mood disorder
0.02970098,0.026098575,0.018951427,0.021842208,0.02620669,0.03996212,0.028113896,0.017314449,0.014110709,0.023910854,0.022992183,0.03728768,0.019881355,0.018519629,0.025650427,0.06044778,0.05602704,0.03819107,0.024089027,0.88767594,0.9385534,0.8700935,0.4416444,0.7223774,0.53724104,0.8707923,0.80407476,0.5456868,0.22225392,0.20075068,0.055475734,0.09258988,0.02970098,0.026098575,0.1515579,0.13867384,0.14359829,0.054059066,0.070295855,0.056106336,0.84609276,0.9378805,0.8464286,0.37993562,0.788945,0.59934604,0.9079844,0.8592512,0.66238356,0.055475734,0.09258988,0.054210555,0.1002878,0.09812463,0.10337405,0.0683072,0.032009628,0.09279203,0.10789406,0.08799784,0.08264818,0.0858875,0.09979426,0.09005137,0.09826192,0.074214496,0.10262196,0.09402414,0.8017258,0.90656656,0.7743566,0.28051975,0.6981446,0.44461763,0.8723418,0.8564983,0.61689186,Schizophrenia
32.828729,33.160555,25.757743,36.451445,38.73503,34.349576,19.797412,17.709014,32.556524,39.742583,31.026573,8.893351,40.065281,54.959717,63.442255,51.95564,25.236949,45.344188,22.434274,81.350816,73.499626,83.422909,17.106445,83.337712,76.312459,64.538536,83.173395,30.970493,34.556769,27.538917,12.337728,10.865091,32.828729,33.160555,19.070667,19.232645,6.8985,7.623031,6.839086,6.599296,79.277067,61.276504,82.893124,19.913543,84.449758,78.360798,56.274626,82.559638,39.8708,12.337728,10.865091,10.276083,15.249927,13.921083,11.53624,5.841622,7.802972,11.680766,12.546896,8.614573,3.68257,8.615176,9.847211,10.159594,8.606643,4.486416,6.588186,4.732155,67.753804,72.446448,81.405488,16.116781,79.408465,72.574896,56.823564,76.10867,28.950023,Addictive disorder
3.809433,3.720648,2.893335,4.808869,5.311352,4.957595,2.497429,2.067292,2.085046,5.935799,4.748409,2.075648,1.150424,1.459994,3.869376,3.126347,2.574814,2.484503,2.483333,60.200357,63.14375,78.235407,5.111577,65.323017,60.787548,74.652837,61.718482,7.344359,14.035249,18.90953,4.485383,4.680021,3.809433,3.720648,3.743913,4.814028,0.654251,1.112528,0.87026,1.51433,75.342938,62.25391,86.29246,11.632375,80.570897,64.86885,75.931393,69.765688,17.6781,4.485383,4.680021,4.052281,6.55652,8.114198,7.705143,3.982683,3.237438,3.154442,9.547039,7.153763,3.196481,2.031113,2.416496,5.713884,4.311081,2.742809,3.217315,4.076338,41.42217,57.847884,73.093439,5.021547,69.022205,51.554097,79.382136,66.19998,19.588721,Anxiety disorder
